Arapaho:	Arapahoes	Arapahos
Herero:	Hereroes	Hereros
Idaho:	Idahoes	Idahos
Mandingo:	Mandingoes	Mandingos
Memento:	Mementoes	Mementos
Monsignor:	Monsignori	Monsignors
Morisco:	Moriscoes	Moriscos
Navaho:	Navahoes	Navahos
Navajo:	Navajoes	Navajos
Negrillo:	Negrilloes	Negrillos
Negrito:	Negritoes	Negritos
Punchinello:	Punchinelloes	Punchinellos
Reichstag:	Reichstag	Reichstags
Winnebago:	Winnebagoes	Winnebagos
abacus:	abaci	abacuses
abide:	abided	abode
abscissa:	abscissae	abscissas
abye:	abyeing	abying
acanthus:	acanthi	acanthus	acanthuses
adieu:	adieus	adieux
agape:	agapae	agapai	agapes
age:	ageing	aging
ageratum:	ageratum	ageratums
airbus:	airbuses	airbusses
albedo:	albedoes	albedos
alder:	alder	alders
alight:	alighted	alit
alkali:	alkalies	alkalis
alluvion:	alluvia	alluvions
alluvium:	alluvia	alluviums
alnico:	alnicoes	alnicos
ambuscado:	ambuscadoes	ambuscados
ameba:	amebae	amebas
amnion:	amnia	amnions
amoeba:	amoebae	amoebas
amphora:	amphorae	amphoras
anchorperson:	anchorpeople	anchorpersons
anchovy:	anchovies	anchovy
anecdote:	anecdota	anecdotes
angelfish:	angelfish	angelfishes
antalkali:	antalkalies	antalkalis
ante:	anted	anteed
anthelix:	anthelices	anthelixes
anthrax:	anthraces	anthraxes
antihelix:	antihelices	antihelixes
antipasto:	antipasti	antipastos
antiserum:	antisera	antiserums
anus:	ani	anuses
anvil:	anviled	anvilled
anvil:	anviling	anvilling
aorta:	aortae	aortas
apex:	apexes	apices
aphelion:	aphelia	aphelions
apparatus:	apparatus	apparatuses
apparel:	appareled	apparelled
apparel:	appareling	apparelling
aqua:	aquae	aquas
aquarium:	aquaria	aquariums
arboretum:	arboreta	arboretums
arc:	arced	arcked
arc:	arcing	arcking
archipelago:	archipelagoes	archipelagos
armful:	armfuls	armsful
arras:	arras	arrases
asparagus:	asparagus	asparaguses
atrium:	atria	atriums
auditorium:	auditoria	auditoriums
aura:	aurae	auras
aurora:	aurorae	auroras
autobus:	autobuses	autobusses
automaton:	automata	automatons
aviatrix:	aviatrices	aviatrixes
avocado:	avocadoes	avocados
awake:	awaked	awoke	awoken
bacchanalia:	bacchanalia	bacchanalias
backlight:	backlighted	backlit
backpedal:	backpedaled	backpedalled
backpedal:	backpedaling	backpedalling
backslide:	backslid	backslidden
bagful:	bagfuls	bagsful
bandit:	bandits	banditti
banjo:	banjoes	banjos
barbasco:	barbascoes	barbascos
barrel:	barreled	barrelled
barrel:	barreling	barrelling
barricado:	barricadoes	barricados
barrico:	barricoes	barricos
basso:	bassi	bassos
bastinado:	bastinadoes	bastinados
baud:	baud	bauds
bayadeer:	bayadeer	bayadeers
bayonet:	bayoneted	bayonetted
bayonet:	bayoneting	bayonetting
bear:	born	borne
beat:	beat	beaten
