Arapahoes	Arapahos
Hereroes	Hereros
Idahoes	Idahos
Mandingoes	Mandingos
Mementoes	Mementos
Monsignori	Monsignors
Moriscoes	Moriscos
Navahoes	Navahos
Navajoes	Navajos
Negrilloes	Negrillos
Negritoes	Negritos
Punchinelloes	Punchinellos
Reichstag	Reichstags
Winnebagoes	Winnebagos
abaci	abacuses
abided	abode
abscissae	abscissas
abyeing	abying
acanthi	acanthus	acanthuses
adieus	adieux
agapae	agapai	agapes
ageing	aging
ageratum	ageratums
airbuses	airbusses
albedoes	albedos
alder	alders
alighted	alit
alkalies	alkalis
alluvia	alluvions	alluviums
alnicoes	alnicos
ambuscadoes	ambuscados
amebae	amebas
amnia	amnions
amoebae	amoebas
amphorae	amphoras
anchorpeople	anchorpersons
anchovies	anchovy
anecdota	anecdotes
angelfish	angelfishes
ani	anuses
antalkalies	antalkalis
anted	anteed
anthelices	anthelixes
anthraces	anthraxes
antihelices	antihelixes
antipasti	antipastos
antisera	antiserums
anviled	anvilled
anviling	anvilling
aortae	aortas
apexes	apices
aphelia	aphelions
apparatus	apparatuses
appareled	apparelled
appareling	apparelling
aquae	aquas
aquaria	aquariums
arboreta	arboretums
arced	arcked
archipelagoes	archipelagos
arcing	arcking
armfuls	armsful
arras	arrases
asparagus	asparaguses
atria	atriums
auditoria	auditoriums
aurae	auras
aurorae	auroras
autobuses	autobusses
automata	automatons
aviatrices	aviatrixes
avocadoes	avocados
awaked	awoke	awoken
bacchanalia	bacchanalias
backlighted	backlit
backpedaled	backpedalled
backpedaling	backpedalling
backslid	backslidden
bagfuls	bagsful
bandits	banditti
banjoes	banjos
barbascoes	barbascos
barreled	barrelled
barreling	barrelling
barricadoes	barricados
barricoes	barricos
bassi	bassos
bastinadoes	bastinados
baud	bauds
bayadeer	bayadeers
bayoneted	bayonetted
bayoneting	bayonetting
beat	beaten
beaus	beaux
becudgeled	becudgelled
becudgeling	becudgelling
becursed	becurst
bedeviled	bedevilled
bedeviling	bedevilling
bedriveled	bedrivelled
bedriveling	bedrivelling
beefaloes	beefalos
begirded	begirt
begot	begotten
behoofs	behooves
bejeweled	bejewelled
