allowance	pocket money	pocket money
allowance's	pocket money's	pocket money's
anyplace	anywhere	anywhere
ashcan's,garbage can's,trashcan's	dustbin's	garbage can's,trash can's
ashcan,garbage can,trashcan	dustbin	garbage can,trash can
ashcans,garbage cans,trashcans	dustbins	garbage cans,trash cans
attorney	barrister,solicitor	lawyer
attorney's	barrister's,solicitor's	lawyer's
attorneys	barristers,solicitors	lawyers
automobile	car	car
automobile's	car's	car's
automobiles	cars	cars
baggage	luggage	luggage
baggage's	luggage's	luggage's
baggages	luggages	luggages
beeper	beeper,pager	pager
beeper's	beeper's,pager's	pager's
beepers	beepers,pagers	pagers
beltway	ring road	ring road
beltway's	ring road's	ring road's
beltways	ring roads	ring roads
billfold	wallet	wallet
billfold's	wallet's	wallet's
billfolds	wallets	wallets
bookstore	bookshop	bookshop	
bureau	chest of drawers	chest of drawers
busy signal	engaged tone	busy signal
can	tin	tin can
can's	tin's	tin can's
candy	sweets	candy,sweets
candy bar	chocolate bar	candy bar
cans	tins	tin cans
casket	coffin	coffin
casket's	coffin's	coffin's
caskets	coffins	coffins
cellular	mobile	cellular phone
cellular's	mobile's	cellular phone's
cellulars	mobiles	cellular phones
checking account	current account	checking account
chips	crisps	chips
closet	cupboard	cupboard
closet's	cupboard's	cupboard's
closets	cupboards	cupboards
clothespin	clothes peg	clothespin
cookie	biscuit	cookie
cookie's	biscuit's	cookie's
cookies	biscuits	cookies
corn	maize	corn
corn's	maize's	corn's
corns	maizes	corns
cotton candy	candy floss	cotton candy
crazier	madder	madder
craziest	maddest	maddest
crazy	mad	mad
cupcake	fairy cake	cupcake
detour	diversion	diversion,detour
detour's	diversion's	diversion's,detour's
detours	diversions	diversions,detours
diaper	nappy	diaper
diaper's	nappy's	diaper's
diapers	nappies	diapers
diner	cafe	diner
drug store	chemist	pharmacy
drug store's	chemist's	pharmacy's
drug stores	chemists	pharmacies
dumpster	skip	dumpster
elevator	lift	elevator
elevator's	lift's	elevator's
elevators	lifts	elevators
eraser	rubber	eraser
eraser's	rubber's	eraser's
erasers	rubbers	erasers
fall	autumn	autumn,fall
fall's	autumn's	autumn's,fall's
faucet	tap	tap	(indoors)
faucet's	tap's	tap's	(indoors)
faucets	taps	taps	(indoors)
fender	wing	fender	(of car)
fender's	wing's	fender's	(of car)
fenders	wings	fenders	(of car)
flashlight	torch	flashlight
flashlight's	torch's	flashlight's
flashlights	torches	flashlights
flat	puncture	flat
flat's	puncture's	flat's
flats	punctures	flats
freeway's,expressway's	motorway	highway's,thoroughfare's,freeway's
freeway,expressway	motorway	highway,thoroughfare,freeway
freeways,expressways	motorways	highways,thoroughfares,freeways
french fries	chips	french fries
garbage can's,trashcan's	rubbish-bin's	garbage can's,trashcan's
garbage can,trashcan	rubbish-bin	garbage can,trashcan
garbage cans,trashcans	rubbish-bins	garbage cans,trashcans
garbage collector	dustman	garbageman
garbage collector's	dustman's	garbageman's
garbage collectors	dustmans	garbagemans
garbage's,trash's	rubbish's	garbage's,trash's,refuse's
garbage,trash	rubbish	garbage,trash,refuse
garters	suspenders	suspenders
gas's,gasoline's	petrol's	gas's,gasoline's
gas,gasoline	petrol	gas,gasoline
gearshift	gear-lever	gearshift
gearshift's	gear-lever's	gearshift's
gearshifts	gear-levers	gearshifts
hard liquor	spirits	spirits
hood	bonnet	hood
hood's	bonnet's	hood's
hoods	bonnets	hoods
intersection	crossroads	intersection
intersection's	crossroads's	intersection's
intersections	crossroads	intersections
jellies	jams	jams
jelly	jam	jam
jelly's	jam's	jam's
mad	angry,cross	angry,upset
mailman	postman	letter carrier
mailman's	postman's	letter carrier's
mailmans	postmans	letter carriers
math	maths	math
motor	engine	engine
motor's	engine's	engine's
motorcycle	motorbike	motorbike,motorcycle
motorcycle's	motorbike's	motorbike's,motorcycle's
motorcycles	motorbikes	motorbikes,motorcycles
motors	engines	engines
movie	film	movie
movie's	film's	movie's
movies	films	movies
napkin	napkin	serviette,table napkin
napkin's	napkin's	serviette's,table napkin's
napkins	napkins	serviettes,table napkins
one-way	single	one-way	(ticket)
overpass	flyover	overpass
overpass's	flyover's	overpass's
overpasses	flyovers	overpasses
pacifier	dummy	pacifier	(for babies)
pacifier's	dummy's	pacifier's	(for babies)
pacifiers	dummies	pacifiers	(for babies)
pants	trousers	trousers
pitcher	jug	jug
pitcher's	jug's	jug's
pitchers	jugs	jugs
purse	handbag	handbag
purse's	handbag's	handbag's
purses	handbags	handbags
railroad	railway	railway
railroad's	railway's	railway's
railroads	railways	railways
round-trip	return	return	(ticket)
rubbers	wellington boots	rubber boots
sedan	saloon	sedan	(car)
sedan's	saloon's	sedan's	(car)
sedans	saloons	sedans	(car)
shorts	pants	shorts
silverware	cutlery	cutlery
silverware's	cutlery's	cutlery's
silverwares	cutleries	cutleries
someplace	somewhere	somewhere
spigot	tap	tap	(outdoors)
spigot's	tap's	tap's	(outdoors)
spigots	taps	taps	(outdoors)
store	shop	store,shop
store's	shop's	store's,shop's
stores	shops	stores,shops
stroller	pram	stroller
subway's,underground's	tube's	subway's,metro's
subway,underground	tube	subway,metro
subways,undergrounds	tubes	subways,metros
suspenders	braces	suspenders
thumbtack	drawing-pin	thumbtack
thumbtack's	drawing-pin's	thumbtack's
thumbtacks	drawing-pins	thumbtacks
toe rubbers	galoshes	galoshes
traffic circle	roundabout	roundabout
traffic circle's	roundabout's	roundabout's
traffic circles	roundabouts	roundabouts
trailer	caravan	trailer
trailer's	caravan's	trailer's
trailers	caravans	trailers
truck	lorry,van	truck
truck's	lorry's,van	truck's
trucks	lorries,vans	trucks
trunk	boot	trunk	(of car)
trunk's	boot's	trunk's	(of car)
trunks	boots	trunks	(of car)
turn signal	indicator	turn signal
turnpike	toll motorway	toll motorway
turnpike's	toll motorway's	toll motorway's
turnpikes	toll motorways	toll motorways
undershirt	vest	undershirt
undershirt's	vest's	undershirt's
undershirts	vests	undershirts
vacation	holiday	holiday
vacation's	holiday's	holiday's
vacations	holidays	holidays
whisky's,scotch's	whisky's	whiskey's,scotch's
whisky,scotch	whisky	whiskey,scotch
whiskys,scotchs	whiskys	whiskeys,scotchs
windshield	windscreen	windshield
windshield's	windscreen's	windshield's
windshields	windscreens	windshields
wrench	spanner	wrench
wrench's	spanner's	wrench's
wrenches	spanners	wrenches
zip code	postcode	postal code
zip code's	postcode's	postal code's
zip codes	postcodes	postal codes
zipper	zip	zipper
zippered	zipped	zippered
zippering	zipping	zippering
